Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
85	3059	GROUND NUT	10.245	KGS	137.26508	1406.28	RAW MATERIALS	CEREALS AND PULSES
86	105754	GROUNDNUT OIL [1 KG ]	37.1	KGS	203	7531.3	RAW MATERIALS	OIL & GHEE ITEMS
87	3568	HARPIC	21	BOTLS	80.24	1685.04	RAW MATERIALS	CLEANING MATERIALS
88	14880	HRD GOLDEN WHITE PAPER [6 ROLL]	8	BOXES	3729.98	29839.84	RAW MATERIALS	CLEANING MATERIALS
89	3512	IDIYAPPA MAVU	23.92	KGS	30.900292	739.13	RAW MATERIALS	FLOUR
90	3350	IDLY RICE	1170.243	KGS	40.303643	47165.06	RAW MATERIALS	CEREALS AND PULSES
91	102025	IML 1/2KG SWEET BOX	950	NOS	8.657368	8224.5	PACKING MATERIALS	SWEET BOXES-PACKING
92	102701	IML 1/4KG SWEET BOX	1500	NOS	5.388	8082	PACKING MATERIALS	SWEET BOXES-PACKING
93	102026	IML 1KG SWEET BOX	50	NOS	13.89	694.5	PACKING MATERIALS	SWEET BOXES-PACKING
94	103295	IML-250ML(OP) CONTAINER	500	NOS	4.01	2005	PACKING MATERIALS	CONTAINER-PACKING
95	103296	IML-500ML (OP) CONTAINER	300	NOS	5.46	1638	PACKING MATERIALS	CONTAINER-PACKING
96	29109	IN 350 KITCHEN DEGREASER / HOOD CLEANER	20	LTRS	118	2360	RAW MATERIALS	CLEANING MATERIALS
97	6858	INDENT BOOK	0	NOS	0	0	STATIONARY ITEMS	STATIONARY ITEMS
98	3494	JAGGERY[PAGU URUNDAI]	264.195	KGS	55.525702	14669.61	RAW MATERIALS	SUGAR AND ALLIED PRODUCTS
99	3021	JATHI PATHRI	1.54	KGS	2061.03409	3173.99	RAW MATERIALS	SPICES AND MASALA
100	3453	JAVA RICE	6.875	KGS	86.1	591.94	RAW MATERIALS	CEREALS AND PULSES
101	3227	JEERA POWDER	7.707	KGS	497.407001	3833.52	RAW MATERIALS	SPICES AND MASALA
102	3327	JEERAGAM	73.173	KGS	354.981677	25975.07	RAW MATERIALS	SPICES AND MASALA
103	101706	JH CASHEW(B)	79.517	KGS	637.747937	50711.8	RAW MATERIALS	DRY FRUITS AND NUTS
104	3509	KALPASI	0.722	KGS	546	394.21	RAW MATERIALS	SPICES AND MASALA
105	2029	KARAMANI	1.72	KGS	62.151162	106.9	VEGETABLES	REGULAR VEGETABLES
106	2011	KARUVEPILAI	29.607	KGS	54.784679	1622.01	VEGETABLES	KEERAI(GREENS) VARIETIES
107	3445	KASHMIR CHILLY	61.173	KGS	251.792756	15402.92	RAW MATERIALS	SPICES AND MASALA
108	3359	KASHMIRI CHIILY POWDER	20.54	KGS	439.786716	9033.22	RAW MATERIALS	SPICES AND MASALA
109	3075	KASTHURI METHI	1.937	KGS	546.52	1058.61	RAW MATERIALS	SPICES AND MASALA
