Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
531	119	MINI THENKUZHUAL	355	KGS	446.43	159750.51	SAVOURIES	SAVOURIES - SPECIALITIES [KGS]
532	807	MINI TIFFIN	1819	NOS	130	245973.02	SOUTH INDIAN	SOUTH INDIAN - COMBOS
533	807	MINI TIFFIN	331	NOS	145	50394.75	SOUTH INDIAN	SOUTH INDIAN - COMBOS
534	807	MINI TIFFIN	631	NOS	180	100163.77	SOUTH INDIAN	SOUTH INDIAN - COMBOS
535	1120	MINT LEMON JUICE	2	NOS	75	157.5	JUICE & MILK SHAKES	FRESH JUICE
536	514	MIX GRILLED SANDWICH	9	NOS	110	1039.5	PIZZA & SANDWICH	SANDWICH
537	514	MIX GRILLED SANDWICH	129	NOS	115	14816.78	PIZZA & SANDWICH	SANDWICH
538	1814	MIX VEG CURRY	1	NOS	255	267.75	NORTH INDIAN	SUBJEES
539	1814	MIX VEG CURRY	9	NOS	260	2457	NORTH INDIAN	SUBJEES
540	1652	MIX VEGETABLE	2	NOS	225	472.5	NORTH INDIAN	SUBJEES
541	1652	MIX VEGETABLE	17	NOS	230	4105.5	NORTH INDIAN	SUBJEES
542	338	MOONG DHALL[100GMS]	3960	NOS	44.64	178238.62	SAVOURIES	PACKED - SAVOURIES
543	22259	MOTA SAV 200 GRMS	10	NOS	89.29	1000	SAVOURIES	PACKED - SAVOURIES
544	22259	MOTA SAV 200 GRMS	5	NOS	111.61	527.25	SAVOURIES	PACKED - SAVOURIES
545	245	MOTHI LADDU	312.585	KGS	666.67	218146.91	SWEETS	GHEE SWEETS [KGS]
546	245	MOTHI LADDU	26	KGS	819.05	18740.57	SWEETS	GHEE SWEETS [KGS]
547	29	MOTHI PAK	18.775	KGS	666.67	13142.5	SWEETS	GHEE SWEETS [KGS]
548	95	MOTO MIXTURE	232	KGS	491.07	114839.67	SAVOURIES	SAVOURIES - MIXTURE ITEMS [KGS]
549	2185	MULLU MURUKKU [250 GM]	137	NOS	111.61	17125	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
550	2185	MULLU MURUKKU [250 GM]	17	NOS	138.39	2149.28	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
551	1017	MUSHROOM 65	5	NOS	235	1233.75	CHINESE	CHINESE STARTERS
552	1017	MUSHROOM 65	41	NOS	240	10332	CHINESE	CHINESE STARTERS
553	1017	MUSHROOM 65	9	NOS	270	2080.08	CHINESE	CHINESE STARTERS
554	1465	MUSHROOM BIRYANI	17	NOS	225	4016.25	NORTH INDIAN	BASUMATI SPECIAL
555	1465	MUSHROOM BIRYANI	124	NOS	230	29946	NORTH INDIAN	BASUMATI SPECIAL
556	1465	MUSHROOM BIRYANI	59	NOS	265	13570	NORTH INDIAN	BASUMATI SPECIAL
557	850	MUSHROOM DOSAI	127	NOS	165	22002.75	SOUTH INDIAN	DOSA VARIETIES
558	926	MUSHROOM FRIED RICE	33	NOS	225	7796.25	CHINESE	FRIED RICE
559	926	MUSHROOM FRIED RICE	163	NOS	230	39364.5	CHINESE	FRIED RICE
560	926	MUSHROOM FRIED RICE	23	NOS	260	5383.33	CHINESE	FRIED RICE
561	8781	MUSHROOM MANCHURIAN DRY	4	NOS	235	987	CHINESE	CHINESE - DRY & GRAVY
562	8781	MUSHROOM MANCHURIAN DRY	42	NOS	240	10584	CHINESE	CHINESE - DRY & GRAVY
563	8781	MUSHROOM MANCHURIAN DRY	15	NOS	275	3572.71	CHINESE	CHINESE - DRY & GRAVY
564	1076	MUSHROOM MANCHURIAN GRAVY	4	NOS	245	1029	CHINESE	CHINESE - DRY & GRAVY
565	1076	MUSHROOM MANCHURIAN GRAVY	12	NOS	250	3150	CHINESE	CHINESE - DRY & GRAVY
566	1076	MUSHROOM MANCHURIAN GRAVY	3	NOS	275	632.91	CHINESE	CHINESE - DRY & GRAVY
567	1075	MUSHROOM MASALA	9	NOS	255	2409.75	NORTH INDIAN	SUBJEES
568	1075	MUSHROOM MASALA	38	NOS	260	10374	NORTH INDIAN	SUBJEES
569	1075	MUSHROOM MASALA	9	NOS	285	2004.6	NORTH INDIAN	SUBJEES
570	1049	MUSHROOM NOODLES	3	NOS	225	708.75	CHINESE	NOODLES
571	1049	MUSHROOM NOODLES	36	NOS	230	8694	CHINESE	NOODLES
572	1049	MUSHROOM NOODLES	8	NOS	275	1751.75	CHINESE	NOODLES
573	996	MUSHROOM PEPPER FRY	5	NOS	225	1181.25	CHINESE	CHINESE SPL STARTERS
574	996	MUSHROOM PEPPER FRY	77	NOS	230	18595.5	CHINESE	CHINESE SPL STARTERS
575	996	MUSHROOM PEPPER FRY	27	NOS	265	6033.2	CHINESE	CHINESE SPL STARTERS
576	21476	MUSHROOM PUFFS	58	NOS	42.37	2899.88	BAKERY	PUFFS
577	999	MUSHROOM PULAO	4	NOS	225	945	NORTH INDIAN	BASUMATI SPECIAL
578	999	MUSHROOM PULAO	18	NOS	230	4347	NORTH INDIAN	BASUMATI SPECIAL
579	999	MUSHROOM PULAO	15	NOS	250	3158.53	NORTH INDIAN	BASUMATI SPECIAL
580	991	MUSHROOM TIKKA	25	NOS	250	6562.5	TANDOORI	TANDOORI STARTERS
581	36	MYSORE PAK	15.305	KGS	666.67	10713.5	SWEETS	GHEE SWEETS [KGS]
582	36	MYSORE PAK	3.25	KGS	819.05	2276.94	SWEETS	GHEE SWEETS [KGS]
583	40369	NALLA KARAM PODI [250 GMS]	7	NOS	110.17	910	SAVOURIES	PODI ITEMS
584	21998	NANNARI SARBATH (H2H)	188	NOS	28.57	5639.91	H2H	H2H
585	41028	NATURAL ANJEER BURFI	3.875	KGS	1600	6510	SWEETS	DRY FRUIT SWEETS [KGS]
586	41027	NATURAL DATES BURFI	2.435	KGS	1400	3579.45	SWEETS	DRY FRUIT SWEETS [KGS]
587	1332	NAVARATHNA KURUMA	5	NOS	290	1522.5	NORTH INDIAN	SUBJEES
588	8641	NAVATHANYAM 100 GRAMS	91	NOS	53.57	5460	SAVOURIES	PACKED - SAVOURIES
589	22248	NAVATHANYAM 200 GRAMS	26	NOS	107.14	3120	SAVOURIES	PACKED - SAVOURIES
590	22248	NAVATHANYAM 200 GRAMS	6	NOS	133.93	810	SAVOURIES	PACKED - SAVOURIES
591	1397	NORTH INDIAN MEALS	311	NOS	260	84903	NORTH INDIAN	NORTH INDIAN - MEAL VARIETIES
592	1397	NORTH INDIAN MEALS	29	NOS	270	8221.5	NORTH INDIAN	NORTH INDIAN - MEAL VARIETIES
