Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
193	2505	SF.TOMATO RICE	130	KGS	40.947461	5323.17	SEMI FINISHED	SF.VARIETY RICE
194	23401	SF.TOMOTA CHATNEY (REST)	487.5	KGS	63.320974	30868.97	SEMI FINISHED	SF.CHATNY ITEMS [SOUTH]
195	1688	SF.VADAKARI	74	KGS	36.843243	2726.4	SEMI FINISHED	SF.KURMA ITEMS
196	7413	SF.VATHA KULAMBU	96	KGS	59.045312	5668.35	SEMI FINISHED	SF.KARA KOLAMBU
197	20559	SF.VAZHAKAI PORIYAL	138.5	KGS	49.138736	6805.72	SEMI FINISHED	SF.PORIYAL ITEMS
198	2539	SF.VEG BIRIYANI	188	KGS	62.16367	11686.77	SEMI FINISHED	SF.VARIETY RICE
199	8614	SF.VEG BRINJ RICE	254	KGS	62.077244	15767.62	SEMI FINISHED	SF.VARIETY RICE
200	7772	SF.VEG FRIED RICE	30	KGS	21.55	646.5	SEMI FINISHED-SWEET & SAV	SEMI FINISHED SWEET
201	2521	SF.VEG KURUMA	819	KGS	62.646886	51307.8	SEMI FINISHED	SF.KURMA ITEMS
202	2566	SF.VEG NOODELS	30	KGS	29.73	891.9	SEMI FINISHED	SF.CHINESE NOODLES
203	1047	SF.VEG PULAV (SOUTH)	49	KGS	53.546938	2623.8	SEMI FINISHED	SF.VARIETY RICE
204	22809	SF.VEG RICE( STAFF)	72	KGS	32.258888	2322.64	SEMI FINISHED	SF.STAFF ITMES
205	1239	SF.WHITE RICE [SALE]	1486	KGS	17.849071	26523.72	SEMI FINISHED	SF.VARIETY RICE
206	1606	SF.WHITE RICE [STAFF]	203	KGS	17.840541	3621.63	SEMI FINISHED	SF.STAFF ITMES
207	104587	SILVER CRAFT POUCHES 100 GRM(105X160MM)	100	NOS	4.02	402	PACKING MATERIALS	PACKING MATERIALS
208	3039	SMALL CHENNA	1	KGS	73	73	RAW MATERIALS	CEREALS AND PULSES
209	3133	SOOJI RAVA	1	KGS	43	43	RAW MATERIALS	CEREALS AND PULSES
210	3495	SOYA SAUCE	2	BOTLS	48.72	97.44	RAW MATERIALS	SAUCES & SYRUP
211	107690	SPRING ONION (KGS)	23	KGS	54.369565	1250.5	VEGETABLES	KEERAI(GREENS) VARIETIES
212	2665	SUGAR FREE (DIET)	200	PAKTS	0.94	188	RAW MATERIALS	SUGAR AND ALLIED PRODUCTS
213	29112	SUGAR S30	45	KGS	40.95	1842.75	RAW MATERIALS	SUGAR AND ALLIED PRODUCTS
214	101009	SUGARCANE PLATE 7 INCH	2375	NOS	2.24	5320	PACKING MATERIALS	PACKING MATERIALS
215	3073	TAMARIND	2	KGS	140	280	RAW MATERIALS	SPICES AND MASALA
216	3251	TATA SALT	3	KGS	25	75	RAW MATERIALS	SPICES AND MASALA
217	13851	THERMO ROLL (MEDIUM)	30	NOS	2	60	STATIONARY ITEMS	STATIONARY ITEMS
218	2047	TOMATO BANGALORE	11	KGS	27.318181	300.5	VEGETABLES	TOMATO ITEMS
219	3539	TOMATO KETCHUP	900	PAKTS	0.56	504	RAW MATERIALS	SAUCES & SYRUP
220	2102	TOMATO NATU	12.5	KGS	28.76	359.5	VEGETABLES	TOMATO ITEMS
221	29424	TOMATO SAUCE	8	KGS	54.39375	435.15	RAW MATERIALS	SAUCES & SYRUP
222	106192	TRANSPARENT TAPE BLUE COLOUR PRINT (36MMX35 MTSX42MIC)	8	NOS	24.5	196	PACKING MATERIALS	PACKING MATERIALS
223	8085	VEG PULAO	30	NOS	117	3510	NORTH INDIAN	BASUMATI SPECIAL
224	3308	VINIGAR	7	BOTLS	21.83	152.81	RAW MATERIALS	SPICES AND MASALA
225	3026	W.TILL	0.3	KGS	241.5	72.45	RAW MATERIALS	SPICES AND MASALA
226	29006	WASTE OIL (SCRAP)	270	KGS	67.5	18225	SCRAP	SCRAP
227	29596	WATER MELON MYSORE(R KIRAN)	3	KGS	27	81	FRUITS	REGULAR FRUITS
228	101561	WOODEN FORK (14CM)	100	NOS	0.67	67	PACKING MATERIALS	SERVICE MATERIAL-PACKING
229	26379	WOODEN SPOON (16 CM)	6200	NOS	0.59	3658	PACKING MATERIALS	SERVICE MATERIAL-PACKING
		Total	51655			973718		
